,Review Header,Reviews,Ratings
0,Must buy!,It's is very good phone. I recommend to buy this phone if ur budget is 10k to 15k. And the camera is tooo fabulous. And screen is also big.  I love this phone.  Thank u MI to make this phone in this budget. And also we get a great processor. 🌟💸,5.0
1,Fabulous!,nice,5.0
2,Worth every penny,great picture effact,5.0
3,Terrific purchase,no words just Too Good,5.0
4,Terrific purchase,"best fone ever i usethis is 2nd mi device for me..first note 4 and second this. Note 4 experience was very bad cause its mic problem but this device is excellent. some views over using 1and half month.pros1. Selfie camera is awesome2 Rear cam is also good 3battery backup is so good4 display quality, touch response amazing5fingerprint sensor very quick6 looks awesome7potrait mode unbelievablecons1.secondary camera struggles in low light 2 face unlock little slow3 i faced call drop problem but my friend who have same device don't. I think this problem created after 9.5 upgradeOverall i m much satisfied with this phonethanks xiaomi for sustain my belief.and 5* for flipcart service, so fast",5.0
5,Highly recommended,Amazing performance.  Camera is best in this range. Nothing to say. A must buy one.,5.0
6,Terrific,No words. Awesome! Brought for my friend. Now Want to buy for me also.,5.0
7,Brilliant,very good productnice,5.0
8,Terrific purchase,true value for money,5.0
9,Classy product,best camera I luv it.....,5.0
10,Fabulous!,red color is awesome good quality,5.0
11,Must buy!,Awsome,5.0
12,Wonderful,superb phone♥️👌✌️,5.0
13,Mind-blowing purchase,superb mobile excellent cam,5.0
14,Great product,perfect camera,5.0
15,Super!,The phone is quite good but there is a lot of trouble in ordering,5.0
16,Terrific,Brilliant purchase,5.0
17,Best in the market!,it's awesome,5.0
18,Terrific,simply awesome🤓😍😘,5.0
19,Value-for-money,very good phone,4.0
20,Perfect product!,awesome look Paisa Vasool mobile,5.0
21,Simply awesome,Thats called a PRO!Shot on RN5Pro is just amazing. Also very stylish and Rough Phone.,5.0
22,Worth the money,Good for the price...,4.0
23,Highly recommended,its amazing....,5.0
24,Classy product,Amazing 😍😍,5.0
25,Terrific,sample pic so nice,5.0
26,Highly recommended,1.Best in class day today performance.2. Best audio from speaker.3. Good cameras.4. Best battery life.5. Best quality display.6. Best build quality.,5.0
27,Great product,Pro best camera phone,5.0
28,Mind-blowing purchase,Great product.. Camera quality was awesome. value for money.,5.0
29,Great product,wao...such nice mobile..camera is too good..must buy,5.0
30,Simply awesome,Awesome product with some extra ordinary features in this price range. but also some issue with software update,5.0
31,Excellent,ExcellentAmazing Camera Both Front and BackExcellent,5.0
32,King of budget phones,"Box includes:Phone, Data cable, Soft transparent back cover, wall power adapter and user manual.Pros:+ Super smart phone+ Excellent build quality+ Gorgeous display+ Very good rear camera with DSLR grade bokeh, it is one of the best under 25K.+ Sleek, sturdy and very premium+ One of the best selfie in the market under 25K.+ No heat, no lagging.+ Dual band WiFi+ Smooth performance from SD-636 coupled with 4GB RAM.+ Great connectivity package - 4G, Dual SIM, FM Radio, WiFi+ Above average sunlight legibility.Cons:- No Oreo out of the box.- No NFC- Protruding camera lens- Average speaker loudness.I don't see any mobile as good as this under 18K except last year's Huawei flagships Huawei P9 and Honor 8, Samsung Galaxy S7 & Asus Zenfone Max Pro M1.Huawei phones have better cameras, better display, same performance and NFC and better low light photography but with smaller display size and and no FM.S7 has better display which vivid and more punchy, double resolution, superior camera, 4K video recording, better low light photography and Samsung Pay.Zenfone Pro Max 1 has better display, better sunlight legibility, better battery life, better speaker, equally good camera and quick Android update. Easily recommended under 18K.",5.0
33,Best bang for your buck!!,"Bought this product for my wife, because she was fed up with her iPhone which she bought only a few months back. She has been praising this phone ever since she got it.Pros:1. Face unlock works accurately2. Great and sharp display (18:9)3. Brilliant Camera (Front and Back)4. Great Battery Life5. Great thin cover for free6. Phone is very slim and looks classy7. MIUI 9 is faster than its previous versions8. Great value for moneyCons:1. Screen might be a little bigger for some people's taste2. You've to press the power button to use face unlock feature. (Tip: Use Gravity Screen to get around this.)3. I'm really trying hard to look for cons but couldn't find any till now.",5.0
34,Great product,Best Phone And Value For Money. My Opinion,5.0
35,"Very good phone @14k, battery Awesome,",Its very good phone. I got it on 23rd Feb.My Rating.Battery- 4.9/5Display-4.7/5Camera- 4.7/5RAM management- 4.6/5Its takes 2hrs 17mint to full charge. And 10hrs continue use with mixed data on.Internal storage available- 52GBSound too loud.,5.0
36,Wonderful,"Display. camera, performance and bettry are just awesome",5.0
37,Just wow!,awesome phoneawesome picture quality 😍👌,5.0
38,Excellent,blue color is most beautiful and phone is so fast,5.0
39,Perfect product!,awesome :) ..loved it,5.0
40,Best in the market!,trust me this is ultimate product by MI. first time m using MI product just beacause there are three word behind it 'MADE IN INDIA'🇮🇳 & its been more dn 3 weeks and i just love this product. awesome camera (not dt much good in lowlight) its OK-OKbattery backup Shandaar.processing speed superdisplay cool. features very good.light weight. Bole to Best in this budget'✡️✡️✡️✡️✡️✡️✡️✡️✡️,5.0
41,Classy product,Awesome phone. Phone is faster & both front & rear camera quality is very nice,5.0
42,Must buy!,Black colour looks more attractive than other colours...,5.0
43,Perfect product!,Great phone in every segment.Design 10/10Processor 10/10Camera 10/10Battery 9.5/10No Heating Problem Faster speed.Smooth gaming no lagging.Most attractive feature it its price. No company can provide such processor in this price range.Thanx Xiomi and Flipkart.,5.0
44,Terrific,The Best Phone under 20K with all the best specs that no phone can give so I rated 5 stars but the flash sale trick is not proper I tried 3 sales but after using pricetracker autobuy extension it worked for me...so if u also want to buy this phone don't forget to use price Tracker extension ( only on pc )....plzz leave a like :) :),5.0
45,Highly recommended,nice mobile long lasting battery,5.0
46,Highly recommended,Amazing Product,5.0
47,Worth the money,all good in this phone but must need for camera improvement.Camera click photos in very low size.front camera is better then rear.,4.0
48,Must buy!,superb phone... Black looks amazingBest cameraprocessing is very goodlow light image is also goodRecommend to all,5.0
49,Fabulous!,Camera is outstanding Battery life is also excellent Speed and Performance Is Also Excellent So I Rate 5 stars To India No.1 Smartphone,5.0
50,Brilliant,World's  Best phone & best price by redmi ..,5.0
51,Great product,i love it,5.0
52,Review & tricks to get phone on flash sale,"Its a very good phone for this price range. The black variant of this phone is too good. Had compared with other color which friends has & black variant is really looking exceptional. And for people who are finding it difficult to order the phone in flash sale, I have  small tips for you. Usually flash sale get started at 11.59 and with in seconds it gets over. But what i did is, i kept on refreshing again and again for another 30 min and the product got pops up again. I got the phone available for checkout at 12.18 PM.So keep on refreshing the page for at least 30 min. You will get the phone. If it is getting added to cart and you was not able to check out, don't remove from the cart as its easy to refresh the cart page again and again and the moment continue button gets enabled click it.Another Tip : If you are able to add to cart and not able to check out.. Don't remove it from cart. Let it be there till next flash sale and it will be easy for you as its already in the cart. You just have to wait and keep of refreshing your cart.Happy purchase. :)",5.0
53,Just wow!,Unbelievable camera performance.,5.0
54,Must buy!,"Pros- Both rear and front camera is good.Both rear and front flash works great on low light photography.Portrait mode is nice.Battery backup is good.Stylish and slim.Blue colour is attractive and beautiful.Finger print sensor works quickly.Best phone within 20k.Cons-Flipkart flash sale is not good. I have to wait for 3 weeks.Front colour is white, That should be blue too.One Have to use back cover for the safety of the rear camera lenses.Overall I will give 8 out of 10.",5.0
55,Highly recommended,Lucky to get this.. amazing under 15k.Love u MI,5.0
56,Brilliant,Awesome phone. Camara is goldern touch. All over masterpiece,5.0
57,Mind-blowing purchase,wo ist a amazing phone 1.very smooth2.very fast2.2 day battery life3.fast charging saport4. face lock i play asphalt 8 amazing smooth,5.0
58,Super!,awesome phone...,5.0
59,Terrific,You can't get anything better at this price :-),5.0
60,Brilliant,superb phone at price of 14k I have used note 4 before and only complain was camera especially front camera but using this device the camera performance is superb and front camera also works way better than its predecessor. I'm very happy to get this phone amazing product thanks for Flipkart but improve the flash sale coz everyone want this superb phone.,5.0
61,Terrific purchase,awesome phone with awesome design...good built quality.camera is so nice.Thank you Redmi India.Thank you Flipkart.#loveredmi,5.0
62,Brilliant,good phone,5.0
